timestamp,price_btc,market_cap_btc,total_volume_btc,price_yfi,market_cap_yfi,total_volume_yfi,price_mkr,market_cap_mkr,total_volume_mkr,price_enj,market_cap_enj,total_volume_enj
2024-01-18,42713.859186939,836987995502.65,21299064875.1871,7850.61507212211,261005300.563968,29303253.6978585,1994.16415063186,1840214817.74629,72151009.8526174,0.307199164085497,428216392.792414,17406040.1694698
2024-01-19,41261.3947980101,808845819110.281,25160430945.2898,7484.44786845493,248842004.449792,18343792.7167634,1985.71104097372,1830105767.21904,96447810.3859681,0.290515288707707,405848049.301301,17877309.3869855
2024-01-20,41600.9409325446,815241536115.319,24407872954.7268,7420.9260000404,246864243.053942,21239739.7749139,1961.34894233815,1808105313.56504,93798387.0818819,0.289994605156266,404259381.433086,18999714.9061577
2024-01-21,41626.1071100366,817217622403.975,9533488489.00503,7430.38466799568,247225215.816891,25829128.5177293,1965.22187006519,1813014087.11773,64857453.7891518,0.299348035899289,417552357.060685,14598467.3653621
2024-01-22,41541.8994570626,814709364023.483,8032696833.69537,7382.05290592907,245485700.458719,23702073.1884671,1989.59760160392,1836043159.49405,57279728.4362904,0.291141183567781,406750906.176302,15083273.8490782
2024-01-23,39504.7300575844,775020895102.293,31202848830.1017,6988.46720184977,232370258.253988,34494977.2509959,1926.74183796059,1775303611.70337,70274748.0212327,0.272060701420804,380186811.839009,17962994.4414851
2024-01-24,39833.4541050169,779133357029.763,29683327703.0343,6876.61616025412,228630448.344187,32527992.5803824,1931.3963563494,1777065196.97558,81155869.6838969,0.267323772666469,372057985.560943,19729962.7801627
2024-01-25,40123.6710584715,786928905377.183,22217129215.3856,7018.61475315939,233960096.245439,19185872.2362374,2119.85129411097,1954902272.96,103661495.203178,0.273387530303545,381571622.934358,17661096.2339872
2024-01-26,39938.2864415588,783180536824.566,13376924612.7782,7044.94568435354,234226231.048662,14893768.8868967,2088.89895166968,1925352869.47866,85734754.0555982,0.271920570917219,379787345.984063,15509507.3537908
2024-01-27,41862.9356109399,820989861818.084,22681602408.5245,7252.05044821092,242359660.018117,16462361.4642263,2074.83594254828,1913381881.58157,72667092.9917966,0.285925622384704,399263572.000383,15955376.2464295
2024-01-28,42119.6104946431,826254540126.237,10694258830.3719,7276.74216337971,242869986.952723,11989096.7408144,2001.84927837182,1846361936.59809,60508469.805124,0.293049575520862,409118873.748841,15256321.2389475
2024-01-29,42026.5785623215,824240091063.325,13669905344.7839,7209.19963448265,240684730.491368,13309352.451263,1959.0618213018,1807525511.42293,55894973.9012029,0.286220827886019,399644667.657067,13093185.6916345
2024-01-30,43267.6092763877,849198976216.473,20680322267.0037,7322.54702238226,244714445.281842,14636690.3623675,1975.55055726713,1823422028.34012,62072362.7035146,0.2944120473699,411794713.643467,17609642.8979124
2024-01-31,42892.0345301445,839294111912.572,24526664209.3586,7295.85647518192,243543935.186002,17812557.2218146,2024.4731067582,1867340021.93475,70635259.0673847,0.286648406232308,400133250.060642,15498939.5735667
2024-02-01,42583.2635466342,835421372330.644,22197944957.0785,7065.88010078538,236284769.60811,20026129.3630238,1959.60316251157,1809813945.99059,68713558.7588866,0.27876646248273,389912960.435352,19006264.5468185
2024-02-02,43069.0434209368,844585195327.659,22443682768.7222,7138.02554219001,238526118.407946,17214736.0565905,1995.96627298358,1840995990.87668,63029602.4607995,0.283784261569215,397000692.511766,14548712.1427911
2024-02-03,43170.6585615997,846561992602.431,18624791426.1308,7192.3238115625,240378123.782681,10223288.7481404,1981.03100750543,1828097396.7013,54483020.781988,0.28691075245902,400842491.406499,12981669.8414306
